#separator:Comma
#html:false
#deck column:1
#tags column:2
#notetype column:3
Biology,cell intro,Basic,"What is the basic unit of life?","The cell"
Biology,cell intro,Basic,"What organelle produces ATP?","The mitochondria"
Biology,cell intro,Cloze,"The powerhouse of the cell is {{c1::mitochondria}}."
Biology,cell intro,Cloze,"DNA is stored in the {{c1::nucleus}} of eukaryotic cells."
Computer Science,algorithms sorting,Basic,"What is the average time complexity of quicksort?","O(n log n)"
Computer Science,algorithms sorting,Basic (and reversed card),"What sorting algorithm repeatedly selects the smallest element?","Selection sort"
Computer Science,algorithms sorting,Cloze,"In a binary search tree, the left child is {{c1::less than}} the parent and the right child is {{c2::greater than}}."
Databases,normalization theory,Basic,"What does BCNF stand for?","Boyce-Codd Normal Form"
Databases,normalization theory,Basic,"What is a superkey?","A set of attributes that uniquely identifies a tuple"
Databases,normalization theory,Cloze,"In BCNF every determinant must be a {{c1::superkey}}."
Physics,mechanics basics,Basic,"What law states that force equals mass times acceleration?","Newton's Second Law"
Physics,mechanics basics,Basic,"What quantity is defined as mass times velocity?","Momentum"
Physics,mechanics basics,Cloze,"The formula for kinetic energy is {{c1::one half}} times {{c2::mass}} times {{c3::velocity squared}}."
